"Magento Booster","Magento Booster"
"Allow Everything","Allow Everything"
"some title","some title"
"General Settings","General Settings"
"Please indicate names of all blocks, that you would like to keep dynamic","Please indicate names of all blocks, that you would like to keep dynamic"
"Separate by commas or indicate each block in a new line","Separate by commas or indicate each block in a new line"
"Flush JavaScript/CSS Cache with Pages Cache","Flush JavaScript/CSS Cache with Pages Cache"
"JavaScript/CSS Cache will be cleared every 15 minutes","JavaScript/CSS Cache will be cleared every 15 minutes"
"Please do not forget to restore the original index.php from the backup.","Please do not forget to restore the original index.php from the backup."
"Error while enabling Magento Booster cache. File %s is not writable.","Error while enabling Magento Booster cache. File %s is not writable."
"Error while disabling Magento Booster cache. File %s is not writable.","Error while disabling Magento Booster cache. File %s is not writable."
"Error while disabling Magento Booster extension. File %s is not writable.","Error while disabling Magento Booster extension. File %s is not writable."
